Name,Zone,Level,Classification,Type,Movement,Notes/Abilities,Commands
Pridewing Patriarch,Stonetalon Mountains,25,Rare,Beast,Slow Patrol,High level for area,".line Stonetalon Mountains,47.60,47.58,47.82,48.01,48.67,48.01,48.89,48.10,49.23,47.98,49.42,47.50,48.98,47.13,48.70,47.04,48.36,47.15,48.18,46.72,47.70,46.72,47.08,45.32,46.95,44.86,47.05,44.17,47.34,43.81,47.14,43.22,46.59,42.55,45.96,41.35,45.77,40.76,45.84,39.81,45.53,39.46,44.76,39.78,44.34,39.69,44.12,40.27,44.10,41.02,44.92,41.70,44.93,42.30,45.13,43.15,45.17,43.48,44.67,43.98,44.50,44.58,44.70,44.97,45.25,44.98,45.61,45.42,45.93,45.93,46.13,46.54,46.72,47.02,47.60,47.58;.mob Pridewing Patriarch"
Bloodfury Ripper,Stonetalon Mountains,26,Elite,Humanoid,Idle,Enrages,".pin Stonetalon Mountains,30.77,61.75;.mob Bloodfury Ripper"
Sorrow Wing,Stonetalon Mountains,27,Rare Elite,Beast,Slow Patrol,"Drains health and mana, hits hard",".loop 25 Stonetalon Mountains,48.89,33.99,49.32,33.98,49.68,34.31,50.39,33.80,50.64,34.28,50.88,34.62,51.44,34.65,51.67,35.01,51.33,36.29,50.88,36.81,49.79,36.91,49.53,36.44,49.24,36.21,49.04,36.32,48.29,36.35,48.13,35.71,48.12,35.21,47.79,35.13,47.49,35.40,47.04,35.99,46.85,35.31,46.70,35.49,46.70,35.03,47.07,34.55,47.30,34.22,47.44,33.70,47.69,33.39,48.07,33.35,48.53,33.64,48.89,33.99;.mob Sorrow Wing"
Sister Riven,Stonetalon Mountains,28,Rare Elite,Humanoid,Idle,Fire shield + flame shock + fire dot ground effect,".pin Stonetalon Mountains,36.8,68.8;.pin Stonetalon Mountains,30.6,69.4;.pin Stonetalon Mountains,27.6,67.8;.pin Stonetalon Mountains,28.0,70.6;.pin Stonetalon Mountains,29.6,72.4;.pin Stonetalon Mountains,28.6,64.6;.mob Sister Riven"
Bloodfury Slayer,Stonetalon Mountains,25-26,Normal,Humanoid,Idle,Execute mobs,".pin Stonetalon Mountains,36.8,68.8;.pin Stonetalon Mountains,30.6,69.4;.pin Stonetalon Mountains,27.6,67.8;.pin Stonetalon Mountains,28.0,70.6;.pin Stonetalon Mountains,29.6,72.4;.pin Stonetalon Mountains,28.6,64.6;.pin Stonetalon Mountains,26.8,68.8;.pin Stonetalon Mountains,28.4,71.6;.pin Stonetalon Mountains,34.4,67.2;.pin Stonetalon Mountains,34.8,71.6;.pin Stonetalon Mountains,37.6,66.6;.mob Bloodfury Slayer"
Bloodfury Roguefeather,Stonetalon Mountains,25-26,Normal,Humanoid,Idle,Thrash mobs,".pin Stonetalon Mountains,36.8,68.8;.pin Stonetalon Mountains,30.6,69.4;.pin Stonetalon Mountains,27.6,67.8;.pin Stonetalon Mountains,28.0,70.6;.pin Stonetalon Mountains,29.6,72.4;.pin Stonetalon Mountains,28.6,64.6;.pin Stonetalon Mountains,26.8,68.8;.pin Stonetalon Mountains,28.4,71.6;.pin Stonetalon Mountains,34.4,67.2;.pin Stonetalon Mountains,34.8,71.6;.pin Stonetalon Mountains,37.6,66.6;.mob Bloodfury Roguefeather"
Bhag'thera,Stranglethorn Vale,40,Elite,Beast,Idle,Hits hard/fast,".pin Stranglethorn Vale,48.8,20.0;.pin Stranglethorn Vale,49.8,24.6;.pin Stranglethorn Vale,47.6,28.8;.mob Bhag'thera"
Tethis,Stranglethorn Vale,43,Elite,Beast,Idle,Hamstrings,".pin Stranglethorn Vale,28.4,45.0;.pin Stranglethorn Vale,31.4,43.6;.pin Stranglethorn Vale,33.4,39.4;.mob Tethis"
King Bangalash,Stranglethorn Vale,43,Elite,Beast,Idle,Calls for help and summons adds at half HP,".pin Stranglethorn Vale,38.6,35.6;.mob King Bangalash"
Garr Salthoof,Stranglethorn Vale,43,Normal,Humanoid,Idle,"Easily double-pulled, charges, stuns",".pin Stranglethorn Vale,29.2,88.8;.mob Garr Salthoof"
Mogh the Undying,Stranglethorn Vale,44,Elite,Humanoid,Idle,"Summons adds, drains them for HP, hyperspawn",".pin Stranglethorn Vale,47.6,44.2;.mob Mogh the Undying"
Lord Sakrasis,Stranglethorn Vale,45,Normal,Humanoid,Idle,Executes,".pin Stranglethorn Vale,28.6,62.2;.mob Lord Sakrasis"
Ana'thek the Cruel <Skullsplitter Chief>,Stranglethorn Vale,45,Normal,Humanoid,Slow Patrol,Executes; pulls with 2 adds in busy area,".line Stranglethorn Vale,44.25,44.95,44.52,44.45,44.69,44.06,45.04,43.04,45.27,42.45,45.52,41.69,45.68,41.29,46.07,40.99,46.64,40.90,46.98,40.87;.mob Ana'thek the Cruel"
Gorlash,Stranglethorn Vale,47,Elite,Giant,Idle,AoE damage,".pin Stranglethorn Vale,36.6,69.6;.mob Gorlash"
Fleet Master Firallon,Stranglethorn Vale,48,Normal,Humanoid,Idle,"Double-pull, dual wields/buffs adds",".pin Stranglethorn Vale,30.6,90.6;.mob Fleet Master Firallon"
Bloodscalp Shaman,Stranglethorn Vale,33-34,Normal,Humanoid,Idle,"Enrage, Fire Nova, dense area",".pin Stranglethorn Vale,24.6,9.2;.pin Stranglethorn Vale,22.6,8.4;.pin Stranglethorn Vale,23.2,10.8;.pin Stranglethorn Vale,20.8,12.2;.pin Stranglethorn Vale,19.4,12.8;.pin Stranglethorn Vale,21.4,14.4;.mob Bloodscalp Shaman"
Bloodscalp Berserker,Stranglethorn Vale,36-37,Normal,Humanoid,Idle,"Enrage, dense area",".pin Stranglethorn Vale,24.6,9.2;.pin Stranglethorn Vale,22.6,8.4;.pin Stranglethorn Vale,23.2,10.8;.pin Stranglethorn Vale,20.8,12.2;.pin Stranglethorn Vale,19.4,12.8;.pin Stranglethorn Vale,21.4,14.4;.mob Bloodscalp Berserker"
Bloodscalp Headhunter,Stranglethorn Vale,36-37,Normal,Humanoid,Idle,"Enrage, net, dense area",".pin Stranglethorn Vale,24.6,9.2;.pin Stranglethorn Vale,22.6,8.4;.pin Stranglethorn Vale,23.2,10.8;.pin Stranglethorn Vale,20.8,12.2;.pin Stranglethorn Vale,19.4,12.8;.pin Stranglethorn Vale,21.4,14.4;.mob Bloodscalp Headhunter"
Bloodscalp Hunter,Stranglethorn Vale,33-34,Normal,Humanoid,Idle,"Net, pet",".pin Stranglethorn Vale,24.6,9.2;.pin Stranglethorn Vale,22.6,8.4;.pin Stranglethorn Vale,23.2,10.8;.pin Stranglethorn Vale,20.8,12.2;.pin Stranglethorn Vale,19.4,12.8;.pin Stranglethorn Vale,21.4,14.4;.mob Bloodscalp Hunter"
Gan'zulah,Stranglethorn Vale,41,Normal,Humanoid,Idle,"Enrage, dual wield, unavoidable multi-pull, high level for area, hits hard",".pin Stranglethorn Vale,23.8,8.6;.mob Gan'zulah"
Mosh'Ogg Warmonger,Stranglethorn Vale,41-42,Elite,Humanoid,Idle,"Large aggro radius, near questing area",".pin Stranglethorn Vale,47.0,24.8;.pin Stranglethorn Vale,49.2,27.0;.pin Stranglethorn Vale,50.4,26.4;.pin Stranglethorn Vale,48.8,28.6;.pin Stranglethorn Vale,48.4,31.6;.pin Stranglethorn Vale,49.6,31.0;.mob Mosh'Ogg Warmonger"
Mosh'Ogg Mauler,Stranglethorn Vale,43-44,Elite,Humanoid,Idle,"Large aggro radius, near questing area",".pin Stranglethorn Vale,47.0,24.8;.pin Stranglethorn Vale,49.2,27.0;.pin Stranglethorn Vale,50.4,26.4;.pin Stranglethorn Vale,48.8,28.6;.pin Stranglethorn Vale,48.4,31.6;.pin Stranglethorn Vale,49.6,31.0;.mob Mosh'Ogg Mauler"
Mosh'Ogg Shaman,Stranglethorn Vale,43-44,Elite,Humanoid,Idle,"Large aggro radius, near questing area",".pin Stranglethorn Vale,47.0,24.8;.pin Stranglethorn Vale,49.2,27.0;.pin Stranglethorn Vale,50.4,26.4;.pin Stranglethorn Vale,48.8,28.6;.pin Stranglethorn Vale,48.4,31.6;.pin Stranglethorn Vale,49.6,31.0;.mob Mosh'Ogg Shaman"
Jon-Jon the Crow,Stranglethorn Vale,43-44,Normal,Undead,Idle,Triple-pull,".pin Stranglethorn Vale,34.8,51.8;.mob Jon-Jon the Crow"
Lord Captain Wyrmak,Swamp of Sorrows,45,Rare Elite,Dragonkin,Slow Patrol,Basic elite,".line Swamp of Sorrows,76.06,66.76,77.74,65.82,78.66,64.00,80.08,59.92,79.68,57.92,80.38,57.26,81.00,56.60,82.45,52.64,79.69,51.18,78.41,50.87,78.45,48.80,78.88,47.38,79.94,46.04,79.20,44.32,76.94,41.15,75.55,40.17,74.55,38.64,69.04,37.92,67.25,38.86,66.06,38.41,64.29,38.47,63.34,39.68,62.85,41.74;.mob Lord Captain Wyrmak"
Swamp Talker,Swamp of Sorrows,50,Normal,Humanoid,Idle,"Extremely high level for area, summons adds",".pin Swamp of Sorrows,63.4,91.2;.pin Swamp of Sorrows,62.2,87.8;.pin Swamp of Sorrows,61.0,84.2;.pin Swamp of Sorrows,63.4,80.4;.pin Swamp of Sorrows,65.6,80.6;.mob Swamp Talker"
Somnus,Swamp of Sorrows,60,Elite,Dragonkin,Slow Patrol,Sleep + knockback,".line Swamp of Sorrows,78.02,60.41,77.21,63.47,76.49,65.57,76.20,65.95,76.18,67.63,76.45,69.93,82.06,72.29,83.61,70.89,84.58,69.16,85.28,66.42,85.33,64.40,87.00,57.71,86.28,55.28,85.22,54.43,85.75,52.05,85.35,49.94,84.25,47.87,83.26,47.49,81.29,46.04,80.24,45.49,78.78,47.78,78.41,49.96,78.71,53.66,78.84,55.21,79.37,57.55,78.67,59.27,78.02,60.41;.mob Somnus"
Wastewander Assassin,Tanaris,44-45,Normal,Humanoid,Idle,Executes,".pin Tanaris,58.8,39.2;.pin Tanaris,58.8,36.4;.pin Tanaris,60.8,32.8;.pin Tanaris,60.6,39.0;.pin Tanaris,63.8,39.8;.pin Tanaris,63.2,37.4;.mob Wastewander Assassin"
Dunemaul Warlock,Tanaris,47-48,Normal,Humanoid,Idle,"Curse of Thorns, DoT, high damage shadow bolt",".pin Tanaris,39.0,74.0;.pin Tanaris,39.6,70.6;.pin Tanaris,42.0,71.2;.pin Tanaris,42.0,74.0;.pin Tanaris,45.8,63.8;.pin Tanaris,48.2,64.6;.pin Tanaris,46.8,66.8;.pin Tanaris,48.2,67.6;.pin Tanaris,38.4,57.8;.pin Tanaris,40.8,56.6;.pin Tanaris,39.6,53.0;.pin Tanaris,42.6,54.6;.mob Dunemaul Warlock"
Centipaar Tunneler,Tanaris,47-48,Normal,Uncategorized,Idle,Several spawn during Water Survey quest,".pin Tanaris,39.08,29.17;.mob Centipaar Tunneler"
Glasshide Petrifier,Tanaris,48-49,Normal,Beast,Idle,"8 second stun, but cast can be outranged",".pin Tanaris,30.2,52.0;.pin Tanaris,28.0,56.0;.pin Tanaris,28.0,60.4;.pin Tanaris,31.0,60.6;.pin Tanaris,31.2,56.8;.pin Tanaris,33.6,59.6;.pin Tanaris,32.6,55.6;.pin Tanaris,35.8,66.0;.pin Tanaris,33.0,68.4;.pin Tanaris,35.0,70.2;.pin Tanaris,35.8,75.0;.pin Tanaris,33.0,73.2;.pin Tanaris,30.0,71.8;.pin Tanaris,33.6,76.6;.pin Tanaris,43.6,76.0;.pin Tanaris,45.6,71.0;.pin Tanaris,47.8,77.0;.mob Glasshide Petrifier"
Centipaar Swarmer,Tanaris,49-50,Normal,Uncategorized,Idle,Summons can get out of hand very quickly,".pin Tanaris,32.8,50.6;.pin Tanaris,35.6,49.8;.pin Tanaris,36.8,45.6;.pin Tanaris,36.6,40.6;.pin Tanaris,34.4,38.4;.pin Tanaris,33.0,44.2;.pin Tanaris,33.4,46.6;.pin Tanaris,34.6,42.2;.mob Centipaar Swarmer"
Hazzali Swarmer,Tanaris,49-50,Normal,Uncategorized,Idle,Summons can get out of hand very quickly,".pin Tanaris,54.0,72.6;.pin Tanaris,54.6,75.8;.pin Tanaris,56.0,72.6;.pin Tanaris,57.6,70.6;.pin Tanaris,56.0,68.2;.pin Tanaris,54.8,70.4;.mob Hazzali Swarmer"
Dishu,The Barrens,13,Rare,Beast,Idle,Summons 3 adds,".pin The Barrens,50.99,20.68;.mob Dishu"
Elder Mystic Razorsnout,The Barrens,15,Rare Elite,Humanoid,Idle,"Earthbind, Searing, Healing Totems + Healing Wave",".pin The Barrens,58.60,27.7,30,0.pin The Barrens,59.24,24.37;.mob Elder Mystic Razorsnout"
Rathorian,The Barrens,15,Rare,Demon,Idle,5 levels higher than subzone's other mobs,".pin The Barrens,47.95,19.16;.mob Rathorian"
Kreenig Snarlsnout,The Barrens,15,Normal,Humanoid,Slow Patrol,Easily double pulled,".line The Barrens,58.58,27.42,58.48,27.37,58.37,27.22,58.59,26.97,58.73,27.15,58.75,27.24,58.63,27.40,58.58,27.42;.mob Kreenig Snarlsnout"
Barak Kodobane,The Barrens,16,Normal,Humanoid,Idle,"High damage, nets, and likely double pull",".pin The Barrens,42.81,23.53;.mob Barak Kodobane"
Baron Longshore,The Barrens,16,Normal,Humanoid,Idle,Easy to double pull,".pin The Barrens,64.2,47.2,30,0.pin The Barrens,63.6,49.0,30,0.pin The Barrens,62.4,49.4;.mob Baron Longshore"
Overseer Glibby,The Barrens,16,Normal,Humanoid,Slow Patrol,Patrols around the Sludge Ven,".line The Barrens,57.39,8.53,57.47,8.42,57.49,8.03,57.35,7.69,57.19,7.54,57.08,7.40,56.89,7.36,56.65,7.35,56.55,7.43,56.54,7.49,56.41,7.58,56.06,7.59,55.96,7.65,55.77,7.87,55.75,8.17,55.77,8.44,55.82,8.61;.mob Overseer Glibby"
Rocklance,The Barrens,17,Rare Elite,Humanoid,Slow Patrol,"Has adds, above average HP for elite level",".line The Barrens,56.52,42.35,56.28,43.03,56.23,43.22,56.25,43.42,56.20,43.55,56.07,43.79,55.74,44.80,55.70,45.03,55.54,45.41,55.42,45.63,55.25,45.80,55.10,45.98,54.69,46.25,54.39,46.24,54.27,46.21,54.12,46.15,53.86,45.94,53.71,45.79,53.48,45.35,53.43,45.02,53.30,44.87,53.27,44.62,52.92,43.44,52.92,43.28,52.94,43.16,53.10,42.84,53.24,42.67,53.39,42.61,53.66,42.55,53.86,42.35,53.88,42.11,53.85,41.36,53.72,40.53,53.81,39.92,54.17,39.13,54.24,38.78,54.55,38.15,54.79,37.95,54.97,37.87,55.24,38.05,55.44,38.27,55.72,38.91,55.91,39.31,56.26,39.78,56.52,42.35;.mob Rocklance"
Sludge Beast,The Barrens,19,Rare,Uncategorized,Slow Patrol,Black Sludge (debuff move/attack speed),".line The Barrens,56.65,8.08,57.03,8.75,57.24,8.67,57.46,8.39,57.45,7.96,57.28,7.63,57.08,7.37,56.75,7.39,56.60,7.65,56.65,8.08;.mob Sludge Beast"
Hezrul Bloodmark,The Barrens,19,Normal,Humanoid,Slow Patrol,Quest mob with 2 adds,".line The Barrens,45.64,38.16,45.84,37.86,45.78,37.41,45.95,37.11,45.93,36.91,46.14,36.85,46.19,36.88,46.28,36.86,46.46,37.17,46.58,37.31,46.66,37.54,46.63,37.93,46.75,38.39,47.27,38.98,47.47,39.27,48.20,39.57,48.40,39.58,48.60,39.51,48.54,39.96,48.58,40.52,48.27,40.82,48.06,40.82,47.86,41.13,47.49,41.33,47.34,41.61,47.22,41.64,46.85,42.05,46.56,41.93,46.27,41.76,46.03,41.15,45.86,41.32,46.09,40.98,46.08,40.68,45.71,40.56,45.64,38.16;.mob Hezrul Bloodmark"
Sister Rathtalon,The Barrens,19,Rare Elite,Humanoid,Slow Patrol,"Thunder Cloud, Gust of Wind + patrols around stealth patrols",".line The Barrens,38.75,13.59,38.86,13.10,39.00,12.68,39.27,12.58,39.48,12.85,39.56,13.22,39.52,13.52,39.30,13.90,39.05,14.45,38.55,14.94,38.30,15.37,38.25,15.94,38.32,16.09,38.54,16.30,38.78,16.31,38.99,16.21,39.11,16.11,39.32,15.55,39.59,15.33,40.10,15.15,40.58,15.68,40.69,15.91,40.69,16.33,40.62,16.66,40.35,17.01,40.15,17.03,39.83,16.90,39.36,16.14,39.18,15.80,39.05,15.25,38.82,14.89,38.75,13.59;.mob Sister Rathtalon"
Foreman Grills,The Barrens,19,Rare,Humanoid,Slow Patrol,Hamstrings; high parry,".line The Barrens,56.60,8.82,56.57,8.76,56.50,8.62,56.37,8.18,56.24,8.22,56.21,8.38,56.29,8.72,56.20,8.80,56.31,8.74,56.19,8.36,56.13,8.31,56.06,8.36,56.02,8.51,56.15,8.60,56.24,8.65,56.30,8.54,;.mob Foreman Grills"
Kuz,The Barrens,21,Normal,Humanoid,Slow Patrol,Unexpected strong quest mob with fire blast burst and frost nova + casts,".line The Barrens,45.13,79.22,44.89,78.87,44.63,78.77,44.45,78.68,43.80,79.44,43.65,79.10,43.49,78.94,43.07,78.98,42.65,79.88,42.82,80.22,43.22,80.48,43.48,80.49,43.59,80.90,43.78,81.38,44.13,81.45,44.84,80.94,45.46,80.93,45.53,80.47,45.11,80.31,44.31,80.68,44.30,80.58,43.99,80.37,43.91,80.43,43.90,80.48,44.00,80.03,44.42,79.85,44.85,79.87,45.06,79.74,45.13,79.22;.mob Kuz"
Lakota'mani,The Barrens,22,Normal,Beast,Idle,Higher level than its subzone,".pin The Barrens,45.20,52.49;.mob Lakota'mani"
Swinegart Spearhide,The Barrens,22,Rare Elite,Humanoid,Slow Patrol,Not sure if he has a small patrol path or not,".pin The Barrens,41.4,45.6;.pin The Barrens,42.4,47.8;.pin The Barrens,44.0,48.6;.pin The Barrens,43.8,51.0;.mob Swinegart Spearhide"
Grand Foreman Puzik Gallywix,The Barrens,23,Elite,Humanoid,Idle,Rogue class quest; do at 22+,".pin The Barrens,54.75,5.59;.mob Grand Foreman Puzik Gallywix"
Humar the Pridelord,The Barrens,23,Rare Elite,Beast,Idle,increase phys damage taken debuff,".pin The Barrens,62.03,33.31;.mob Humar the Pridelord"
Owatanka,The Barrens,24,Normal,Beast,Idle,High level for area,".pin The Barrens,49.54,59.13,30,0.pin The Barrens,44.91,62.55;.mob Owatanka"
Aean Swiftriver,The Barrens,25,Rare Elite,Humanoid,Slow Patrol,Group of level 25 rare elite mobs that patrols around middle/south Barrens,".line The Barrens,43.72,40.26,43.73,40.56,43.84,40.87,43.72,41.39,44.26,42.03,44.58,42.46,44.65,42.81,44.94,43.19,45.01,43.71,45.33,44.30,45.62,44.68,45.87,44.83,46.06,45.35,46.37,45.90,46.63,46.39,47.06,46.66,47.29,47.02,47.43,47.36,47.80,47.88,48.20,48.19,48.60,48.21,48.89,48.10,49.55,48.10,49.80,48.47,49.93,48.77,50.15,49.20,50.54,49.27,50.76,49.51,51.17,49.87,51.17,50.72,50.93,51.42,50.81,52.44,50.73,53.12,50.51,53.94,50.22,55.33,49.67,56.13,48.98,57.14,48.65,58.74,48.65,60.07,48.53,62.84,48.18,64.42,47.47,65.75,47.10,67.20,46.65,68.11,46.93,69.52,46.56,71.21,46.78,73.07,47.36,73.98,47.02,75.32,47.22,77.17;.mob Aean Swiftriver"
Bael'dun Officer,The Barrens,26,Normal,Humanoid,Idle,Has a parry ability and also thrashes,".pin The Barrens,48.6,84.6;.pin The Barrens,49.6,83.6;.mob Bael'dun Officer"
Razormane Geomancer,The Barrens,12-13,Normal,Humanoid,Idle,"High dps caster with Frost Armor, easily double pulled",".pin The Barrens,58.58,27.42;.pin The Barrens,58.48,27.37;.pin The Barrens,58.37,27.22;.pin The Barrens,58.59,26.97;.pin The Barrens,58.73,27.15;.pin The Barrens,58.75,27.24;.pin The Barrens,58.63,27.40;.pin The Barrens,58.58,27.42;.mob Razormane Geomancer"
Razormane Mystic,The Barrens,13-14,Normal,Humanoid,Idle,"Healing mobs surrounding Kreenig Snarlsnout, easily double pulled",".pin The Barrens,58.58,27.42;.pin The Barrens,58.48,27.37;.pin The Barrens,58.37,27.22;.pin The Barrens,58.59,26.97;.pin The Barrens,58.73,27.15;.pin The Barrens,58.75,27.24;.pin The Barrens,58.63,27.40;.pin The Barrens,58.58,27.42;.mob Razormane Mystic"
Witchwing Slayer,The Barrens,16-17,Normal,Humanoid,Idle,Executes,".pin The Barrens,38.75,13.59;.pin The Barrens,38.86,13.10;.pin The Barrens,39.00,12.68;.pin The Barrens,39.27,12.58;.pin The Barrens,39.48,12.85;.pin The Barrens,39.56,13.22;.pin The Barrens,39.52,13.52;.pin The Barrens,39.30,13.90;.pin The Barrens,39.05,14.45;.pin The Barrens,38.55,14.94;.pin The Barrens,38.30,15.37;.pin The Barrens,38.25,15.94;.pin The Barrens,38.32,16.09;.pin The Barrens,38.54,16.30;.pin The Barrens,38.78,16.31;.pin The Barrens,38.99,16.21;.pin The Barrens,39.11,16.11;.pin The Barrens,39.32,15.55;.pin The Barrens,39.59,15.33;.pin The Barrens,40.10,15.15;.pin The Barrens,40.58,15.68;.pin The Barrens,40.69,15.91;.pin The Barrens,40.69,16.33;.pin The Barrens,40.62,16.66;.pin The Barrens,40.35,17.01;.pin The Barrens,40.15,17.03;.pin The Barrens,39.83,16.90;.pin The Barrens,39.36,16.14;.pin The Barrens,39.18,15.80;.pin The Barrens,39.05,15.25;.pin The Barrens,38.82,14.89;.pin The Barrens,38.75,13.59;.mob Witchwing Slayer"
Sunscale Scytheclaw,The Barrens,16-18,Normal,Beast,Idle,Thrashes; double pull at Stolen Silver,".pin The Barrens,58.03,53.87;.mob Sunscale Scytheclaw"
Silithid Swarmer,The Barrens,21-22,Normal,Beast,Idle,Summons many 1hp adds,".pin The Barrens,41.8,69.0;.pin The Barrens,43.2,71.0;.pin The Barrens,43.6,69.4;.pin The Barrens,45.6,72.4;.pin The Barrens,47.4,70.8;.pin The Barrens,48.6,69.6;.mob Silithid Swarmer"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,53.70,40.25,53.64,39.47,53.34,39.40,53.28,39.83,53.18,40.25,53.29,40.53,53.26,40.86,53.33,41.02,53.47,41.18,53.80,41.01,54.09,40.53,54.57,40.68,54.69,40.84,54.59,39.95,54.28,39.80,54.01,39.83,53.70,40.25;.mob Kolkar Pack Runner"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,52.65,38.90,52.87,39.39,53.00,39.40,53.14,39.80,53.14,40.21,53.29,40.56,53.25,40.93,53.41,41.25,53.67,41.39,53.73,40.90,53.94,40.82,54.06,40.49,54.04,40.11,53.88,39.66,53.67,39.42,53.61,39.09,53.33,38.90,52.72,38.88;.mob Kolkar Pack Runner"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,56.92,40.67,56.71,40.68,56.60,40.85,56.57,41.44,56.79,41.63,56.94,41.48,57.02,41.80,57.28,42.00,57.40,41.96,57.52,42.13,57.57,42.31,57.33,41.92,57.62,41.49,57.68,41.03,57.54,40.88,57.31,40.78,57.07,40.67,56.92,40.67;.mob Kolkar Pack Runner"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,56.46,40.22,56.57,40.57,56.46,41.09,56.27,41.51,56.06,41.40,56.23,41.41,56.59,40.68,57.05,40.60,57.18,40.74,57.40,40.80,57.45,40.93,57.34,40.35,56.95,40.22,56.69,40.38,56.44,40.12,56.46,40.22;.mob Kolkar Pack Runner"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,55.95,46.21,56.13,45.97,56.08,45.80,55.93,45.56,55.79,45.27,55.60,45.35,55.33,45.85,55.37,46.18,55.28,46.67,55.50,47.39,56.00,47.61,56.43,47.47,56.63,47.00,56.67,46.60,56.56,46.25,56.20,46.34,55.95,46.21;.mob Kolkar Pack Runner"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,52.67,44.88,52.63,44.56,52.74,44.23,52.88,44.16,53.07,44.23,53.18,44.58,52.98,45.03,52.80,45.02,52.65,44.84;.mob Kolkar Pack Runner"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,53.03,44.85,53.04,45.09,53.20,45.37,53.48,45.37,53.75,45.11,53.98,44.68,54.02,44.37,53.78,44.10,53.09,43.76,52.42,44.34,52.32,45.10,52.57,45.54,52.92,45.29,53.03,44.85;.mob Kolkar Pack Runner"
Kolkar Pack Runner,The Barrens (Stagnant Oasis),14-15,Normal,Humanoid,Fast Patrol,Has hyena pet at Stagnant Oasis,".line The Barrens,56.29,46.26,56.11,45.86,55.83,45.57,55.66,45.50,55.64,45.73,55.60,45.32,55.78,45.17,56.49,45.23,56.34,45.34,56.27,45.73,56.11,45.90,56.06,46.13,55.88,46.14,55.35,46.80,55.66,46.66,55.89,46.66,56.29,46.26;.mob Kolkar Pack Runner"
Arikara,Thousand Needles,28,Elite,Beast,Idle,Adds around the mesa can hyperspawn,".pin Thousand Needles,38.22,35.28;.mob Arikara"
Enraged Panther,Thousand Needles,30,Elite,Beast,Idle,Extremely high damage for its level,".pin Thousand Needles,22.75,24.65;.mob Enraged Panther"
Rok'Alim the Pounder,Thousand Needles,30,Elite,Elemental,Idle,Elite that stuns,".pin Thousand Needles,17.19,37.34;.mob Rok'Alim the Pounder"
Steelsnap,Thousand Needles,30,Normal,Beast,Slow Patrol,2 adds,".line Thousand Needles,13.05,26.42,13.40,27.20,13.87,28.83,14.15,29.65,14.46,30.46,15.12,31.63,15.57,31.70,16.19,30.80,16.86,30.01,17.20,29.62,17.62,28.03,17.98,27.32,18.49,26.72,18.64,26.10,18.68,24.65,18.52,23.98,18.10,23.59,17.90,23.13,17.62,22.94,17.55,22.55,17.20,22.27,17.88,20.75,17.98,20.25,17.65,19.42,17.24,18.91,16.65,18.59,16.23,18.51,15.70,18.67,14.72,19.73,14.54,20.11,13.28,20.01,12.95,19.89,12.44,20.44,11.92,20.87,11.17,22.50,11.17,23.26,11.30,23.78,11.48,24.04,11.59,24.56,11.92,25.08,13.05,26.42;.mob Steelsnap"
Grenka Bloodscreech,Thousand Needles,31,Normal,Humanoid,Idle,Spawns with waves that AoE silence/cyclone,".pin Thousand Needles,25.92,54.69;.mob Grenka Bloodscreech"
Achellios the Banished,Thousand Needles,31,Rare,Humanoid,Fast Patrol,"Gets close to Whitereach post; has adds, buffs them",".line Thousand Needles,22.94,43.16,23.85,43.62,25.14,42.70,25.97,40.96,25.86,38.84,24.91,36.85,23.87,36.52,22.08,37.69,21.62,34.06,19.97,32.85,18.80,33.46,17.34,36.70,18.47,38.41,19.93,39.42,21.17,40.74,22.16,42.32,22.94,43.16;.mob Achellios the Banished"
Heartrazor,Thousand Needles,32,Rare Elite,Beast,Slow Patrol,Poison deals considerable damage,".line Thousand Needles,15.45,40.02,15.58,40.55,15.67,41.06,15.98,41.43,16.19,41.42,16.33,41.56,16.53,41.46,17.01,41.54,17.62,40.66,18.20,41.13,18.13,41.73,18.19,42.07,17.93,42.52,17.52,42.60,16.99,41.91,17.01,41.54;.mob Heartrazor"
